card_id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5559,1116,Mastercard,Debit,5341049613275152,2021-09-01,396,YES,2,26546,2009-11-01,2009,No
4905,1116,Mastercard,Debit,5668831527649353,2021-01-01,356,YES,1,23253,2017-09-01,2017,No
79,1116,Visa,Credit,4400056931148232,2021-02-01,497,YES,1,16100,2005-01-01,2014,No
301,1116,Visa,Credit,4808554251869440,2021-02-01,921,YES,2,8700,2012-01-01,2012,No
3115,1116,Mastercard,Debit,5224739362243611,2019-01-01,922,YES,1,29333,2012-05-01,2012,No
3880,1752,Mastercard,Debit,5294178176133532,2024-07-01,265,YES,2,9496,2009-07-01,2012,No
1766,192,Visa,Debit,4857799018106614,2021-07-01,930,YES,1,25499,2020-02-01,2020,No
1767,192,Visa,Debit,4324062360619923,2020-02-01,358,YES,1,18641,2020-02-01,2020,No
745,640,Visa,Debit,4852639114720724,2023-05-01,995,YES,1,26019,2020-01-01,2020,No
1459,1679,Mastercard,Debit,5656383455895230,2021-01-01,547,YES,1,25845,2020-02-01,2020,No
138,1094,Visa,Debit,4556928160477229,2023-06-01,64,YES,2,2365,2007-01-01,2009,No
3755,1094,Mastercard,Debit,5515782790823587,2023-06-01,419,YES,2,18684,2006-07-01,2017,No
1768,1094,Visa,Credit,4508388296516458,2021-02-01,364,NO,2,7400,2020-02-01,2020,No
5924,1590,Mastercard,Debit,5548265564669334,2024-12-01,145,YES,2,4147,2008-12-01,2016,No
6074,1660,Visa,Debit (Prepaid),4986270376099447,2022-04-01,385,YES,1,76,2012-12-01,2012,No
5923,1660,Discover,Credit,6726060094896113,2009-01-01,105,NO,1,4700,2008-12-01,2014,No
4223,1660,Visa,Credit,4157109762296149,2021-06-01,433,YES,2,5800,2007-08-01,2011,No
4455,1660,Mastercard,Debit,5231462717450524,2024-03-01,754,YES,2,12082,2016-08-01,2016,No
3234,1660,Mastercard,Credit,5074836567307562,2023-03-01,741,NO,2,6000,2002-06-01,2010,No
1005,1660,Visa,Debit,4986369179342271,2009-11-01,367,YES,1,620,2002-02-01,2014,No
151,1747,Mastercard,Debit,5892013969159900,2022-08-01,879,YES,1,14499,2008-01-01,2008,No
4198,1747,Mastercard,Debit,5179157151686144,2023-07-01,457,YES,2,12332,2007-08-01,2009,No
4403,1747,Mastercard,Debit,5569640141329524,2024-09-01,904,YES,1,18424,2013-08-01,2013,No
4120,1747,Visa,Credit,4708914311449293,2023-07-01,149,NO,1,15400,2003-08-01,2008,No
4224,1747,Visa,Debit,4795724941278913,2022-02-01,136,YES,2,14548,2007-08-01,2013,No
4895,1747,Mastercard,Credit,5300159511214994,2016-12-01,740,YES,2,10100,2016-09-01,2016,No
1028,153,Discover,Credit,6580244636542196,2011-04-01,416,YES,1,11200,2004-02-01,2008,No
5956,153,Mastercard,Debit,5032457975030967,2024-10-01,240,YES,2,20291,2009-12-01,2011,No
107,153,Visa,Debit,4382324870900908,2018-08-01,852,YES,1,32092,2006-01-01,2010,No
440,153,Mastercard,Debit,5456808094753905,2020-02-01,217,YES,1,20463,2020-01-01,2020,No
746,429,Visa,Debit,4465362453388909,2022-08-01,738,YES,1,15802,2020-01-01,2020,No
1769,429,Visa,Debit,4668447208616693,2020-02-01,314,NO,2,4612,2020-02-01,2020,No
421,429,Discover,Credit,6377595394803324,2020-07-01,675,YES,2,19900,2020-01-01,2020,No
974,511,Mastercard,Debit (Prepaid),5117090980312402,2020-10-01,42,YES,1,73,2000-02-01,2012,No
4707,511,Mastercard,Debit,5377858405611171,2024-01-01,24,YES,1,11858,2009-09-01,2010,No
7,511,Mastercard,Debit,5585238056278288,2005-03-01,749,YES,1,9664,1998-01-01,2011,No
2212,511,Mastercard,Debit,5355281784290567,2020-06-01,810,YES,1,8367,2009-03-01,2009,No
1038,511,Visa,Credit,4150093118072730,2022-06-01,135,YES,2,6100,2004-02-01,2009,No
1460,309,Mastercard,Debit,5979295728871785,2020-02-01,630,YES,3,9944,2020-02-01,2020,No
747,309,Visa,Credit,4473643731469839,2020-01-01,771,YES,1,7900,2020-01-01,2020,No
1770,309,Visa,Credit,4800116569994473,2020-12-01,201,YES,1,5600,2020-02-01,2020,No
748,777,Visa,Debit,4832328468851061,2023-08-01,580,YES,1,68400,2020-01-01,2020,No
441,777,Mastercard,Debit,5278075482033392,2023-04-01,437,YES,2,77237,2020-01-01,2020,No
3679,1946,Visa,Debit,4869845530765333,2024-08-01,701,YES,2,4488,2002-07-01,2015,No
5701,1946,Visa,Credit,4231526239204033,2020-02-01,499,YES,2,12500,2014-11-01,2014,No
4510,1674,Mastercard,Debit,5813611925507601,2020-12-01,734,YES,2,23432,2001-09-01,2008,No
2873,1674,Amex,Credit,366520954874839,2022-05-01,447,YES,2,8800,2005-05-01,2011,No
1461,482,Mastercard,Credit,5392697458480962,2020-02-01,886,YES,2,12100,2020-02-01,2020,No
442,877,Mastercard,Debit,5048151330736425,2020-02-01,931,YES,1,9708,2020-01-01,2020,No
3877,877,Amex,Credit,371643368691556,2021-11-01,683,YES,2,12000,2009-07-01,2011,No
2296,877,Mastercard,Debit,5700734711260263,2023-11-01,230,YES,1,11973,2012-03-01,2012,No
5048,128,Mastercard,Debit,5389442391430673,2022-02-01,658,YES,2,13601,2006-10-01,2014,No
1462,128,Mastercard,Credit,5079116875907423,2024-01-01,849,YES,2,7800,2020-02-01,2020,No
4269,775,Visa,Debit,4390425683290569,2023-10-01,790,YES,2,17816,2008-08-01,2016,No
5188,1536,Mastercard,Debit,5217568630125704,2021-03-01,625,NO,2,17707,2010-10-01,2010,No
2874,1536,Amex,Credit,397856635669220,2020-11-01,2,YES,1,9500,2005-05-01,2009,No
3041,140,Mastercard,Debit,5529182104663869,2022-01-01,182,YES,1,19110,2010-05-01,2011,No
5312,140,Mastercard,Debit,5489017664251289,2023-08-01,196,YES,1,13428,2016-10-01,2016,No
4150,140,Mastercard,Debit,5793675314684781,2022-06-01,43,YES,1,24608,2005-08-01,2009,No
152,140,Mastercard,Debit,5845373196638993,2022-09-01,111,YES,1,13441,2008-01-01,2011,No
443,1884,Mastercard,Debit (Prepaid),5750288075891808,2020-02-01,788,YES,2,74,2020-01-01,2020,No
3377,1874,Mastercard,Debit,5429789020188285,2012-10-01,674,YES,1,17872,2008-06-01,2008,No
5789,1874,Mastercard,Credit,5301114615829913,2022-09-01,425,YES,1,12900,2003-12-01,2010,No
2106,1874,Mastercard,Debit,5571104183564029,2024-05-01,52,YES,2,25264,2006-03-01,2020,No
2078,1874,Mastercard,Debit,5401948301255038,2022-12-01,920,YES,2,20634,2005-03-01,2007,No
5866,1310,Visa,Credit,4295364044956974,2007-04-01,656,YES,2,12200,2006-12-01,2010,No
173,1310,Visa,Credit,4737484014371342,2010-02-01,221,YES,2,5500,2008-01-01,2008,No
1771,1689,Visa,Credit,4509365132510769,2020-03-01,281,NO,2,6600,2020-02-01,2020,No
6132,1689,Mastercard,Debit,5068255294282305,2020-11-01,890,YES,1,25815,2017-12-01,2017,No
327,379,Amex,Credit,354813103334804,2021-06-01,527,YES,2,8400,2014-01-01,2014,No
2019,379,Mastercard,Debit,5910929635230868,2020-02-01,525,YES,1,21628,2001-03-01,2008,No
3881,379,Mastercard,Debit,5400182448188961,2021-10-01,412,YES,1,24232,2009-07-01,2009,No
1166,34,Mastercard,Debit,5039048842448184,2023-11-01,339,YES,2,10775,2009-02-01,2010,No
3342,34,Mastercard,Debit (Prepaid),5672012369002302,2020-02-01,598,YES,2,105,2007-06-01,2013,No
5622,822,Visa,Credit,4336733185475861,2021-01-01,221,NO,2,7100,2010-11-01,2010,No
5424,822,Mastercard,Debit,5985582173054292,2024-07-01,951,YES,1,29351,2005-11-01,2007,No
2558,822,Mastercard,Debit,5281056728185174,2020-03-01,835,YES,2,15125,2008-04-01,2012,No
5385,822,Mastercard,Credit,5615660494634705,2021-11-01,865,YES,2,8000,2003-11-01,2008,No
5596,822,Mastercard,Debit (Prepaid),5314878099448745,2011-05-01,994,YES,1,83,2010-11-01,2010,No
3991,1499,Amex,Credit,311095486859536,2024-01-01,536,YES,2,23700,2012-07-01,2012,No
6126,1780,Visa,Credit,4624747592911129,2024-02-01,986,YES,2,700,2016-12-01,2016,No
3756,1806,Mastercard,Debit,5595562388674401,2024-07-01,594,YES,2,7488,2006-07-01,2016,No
971,811,Visa,Credit,4171022488649333,2002-01-01,225,NO,1,24900,1999-02-01,2010,No
2079,811,Mastercard,Debit,5246337038556761,2021-06-01,638,YES,2,30971,2005-03-01,2020,No
387,811,Amex,Credit,399966116933253,2024-01-01,343,YES,1,24400,2020-01-01,2020,No
444,811,Mastercard,Debit,5064137987234665,2020-02-01,599,YES,2,53549,2020-01-01,2020,No
5277,811,Visa,Debit,4905540969337037,2018-09-01,573,YES,1,53036,2013-10-01,2013,No
4358,811,Mastercard,Debit,5703849820939467,2024-12-01,300,YES,1,35750,2011-08-01,2011,No
2318,811,Visa,Debit,4055403312631050,2021-07-01,902,YES,1,33375,2013-03-01,2013,No
6019,1844,Visa,Debit (Prepaid),4587476056357151,2023-07-01,858,YES,2,22,2010-12-01,2010,No
4421,1844,Discover,Credit,6521426249819196,2020-11-01,608,YES,1,13100,2014-08-01,2014,No
3702,1844,Visa,Debit,4199712815274632,2024-10-01,440,YES,1,16516,2003-07-01,2011,No
2854,1844,Mastercard,Credit,5172743861765175,2016-07-01,906,YES,1,15700,2004-05-01,2011,No
4114,1844,Mastercard,Debit,5214643602729093,2024-05-01,474,YES,1,21058,2003-08-01,2007,No
28,1852,Visa,Debit,4013876625955765,2023-10-01,543,YES,2,36425,2002-01-01,2004,No
6127,1852,Visa,Debit (Prepaid),4966050979388902,2021-03-01,585,YES,2,91,2016-12-01,2016,No
2477,1852,Mastercard,Credit,5247576622089394,2021-09-01,379,YES,1,13400,2005-04-01,2014,No
2632,1852,Mastercard,Credit,5911319900289832,2021-04-01,37,YES,2,21600,2010-04-01,2010,No
1463,1231,Mastercard,Debit,5058769177189803,2020-02-01,12,NO,1,9090,2020-02-01,2020,No
5679,970,Visa,Debit,4682877628388639,2023-02-01,846,NO,1,25942,2012-11-01,2012,No
1012,970,Mastercard,Credit,5882842508952744,2019-07-01,614,YES,2,10700,2003-02-01,2013,No
1464,970,Mastercard,Credit,5637149260486793,2022-07-01,630,YES,2,4900,2020-02-01,2020,No
1465,381,Mastercard,Credit,5115700923413241,2022-04-01,587,NO,1,18100,2020-02-01,2020,No
388,1134,Amex,Credit,324640473359364,2024-03-01,659,YES,2,7200,2020-01-01,2020,No
3708,1296,Mastercard,Debit,5033428838471726,2020-02-01,546,YES,2,22660,2004-07-01,2007,No
3087,1296,Discover,Credit,6969946254132652,2022-12-01,588,YES,1,19800,2011-05-01,2011,No
67,1296,Mastercard,Credit,5181226307106931,2024-11-01,820,YES,2,15500,2005-01-01,2014,No
80,1296,Visa,Debit (Prepaid),4310689470082080,2023-06-01,458,YES,1,13,2005-01-01,2008,No
3665,1296,Mastercard,Debit,5051066154001741,2021-06-01,526,YES,2,4317,2001-07-01,2011,No
2014,1880,Mastercard,Debit,5456915066505066,2021-12-01,553,NO,1,14719,2000-03-01,2008,No
4906,1880,Mastercard,Debit,5132664334960880,2021-05-01,593,YES,1,9532,2017-09-01,2017,No
3757,1880,Mastercard,Credit,5752873844240568,2020-03-01,486,YES,1,10900,2006-07-01,2014,No
5365,322,Mastercard,Credit,5494228198326752,2024-09-01,428,YES,2,6200,2001-11-01,2012,No
5425,322,Mastercard,Debit,5789639625525459,2012-12-01,43,YES,2,2903,2005-11-01,2011,No
5758,322,Mastercard,Debit,5392957769023387,2020-10-01,803,YES,2,4355,1999-12-01,2010,No
5482,461,Mastercard,Debit,5182820825620434,2021-04-01,126,YES,1,28963,2007-11-01,2012,No
3172,461,Mastercard,Debit,5102353988152905,2022-12-01,667,YES,2,20913,2016-05-01,2016,No
1209,461,Mastercard,Debit,5033135709911480,2024-07-01,170,YES,1,23344,2010-02-01,2010,No
5313,461,Mastercard,Debit,5611522756791997,2020-01-01,882,YES,2,33642,2016-10-01,2016,No
4762,1165,Mastercard,Debit,5037404409791945,2022-01-01,681,YES,1,14695,2010-09-01,2011,No
126,1448,Mastercard,Credit,5571363047071896,2023-09-01,510,YES,1,13200,2007-01-01,2015,No
4685,1448,Visa,Debit,4083033843851772,2020-01-01,173,YES,1,29950,2008-09-01,2013,No
5907,1448,Visa,Credit,4829916759482899,2024-07-01,768,YES,2,4600,2007-12-01,2011,No
2428,1288,Mastercard,Debit,5458492483408549,2022-12-01,92,YES,1,10051,2002-04-01,2011,No
1013,1288,Mastercard,Debit,5879094230635425,2015-12-01,729,YES,2,9796,2003-02-01,2013,No
5145,1178,Mastercard,Debit,5769435406360328,2021-10-01,957,YES,1,17826,2009-10-01,2009,No
5854,1178,Mastercard,Debit,5588799529406913,2024-11-01,778,YES,1,19086,2006-12-01,2009,No
5296,1178,Visa,Debit,4410685608952637,2024-06-01,265,YES,2,17345,2014-10-01,2014,No
1327,1178,Visa,Debit,4470822684089911,2020-09-01,923,YES,2,17976,2013-02-01,2013,No
383,1178,Visa,Debit,4804338444306727,2022-01-01,279,YES,2,16447,2019-01-01,2019,No
5129,1391,Visa,Debit,4194362281636453,2024-10-01,271,YES,2,29573,2008-10-01,2009,No
5995,1391,Mastercard,Debit (Prepaid),5436469451844829,2021-12-01,48,YES,2,98,2010-12-01,2010,No
4107,1391,Mastercard,Debit,5648865641388293,2019-08-01,71,YES,2,2559,2002-08-01,2012,No
36,1391,Mastercard,Debit,5914243757284149,2012-10-01,436,YES,2,6552,2003-01-01,2010,No
445,838,Mastercard,Credit,5193780952753626,2021-01-01,591,YES,2,13800,2020-01-01,2020,No
1466,54,Mastercard,Debit,5957925302951752,2020-08-01,746,YES,1,16375,2020-02-01,2020,No
749,54,Visa,Debit,4557061225558443,2023-05-01,780,YES,1,14213,2020-01-01,2020,No
1772,54,Visa,Debit (Prepaid),4883222888293069,2020-09-01,2,YES,1,73,2020-02-01,2020,No
3801,1452,Mastercard,Debit,5476407228285230,2022-11-01,688,YES,2,53466,2007-07-01,2013,No
282,1602,Visa,Credit,4698943729070491,2020-09-01,450,YES,1,6600,2011-01-01,2013,No
6105,1602,Mastercard,Credit,5579147219556308,2022-06-01,806,NO,2,7200,2015-12-01,2015,No
446,1938,Mastercard,Debit,5099614207935768,2020-11-01,856,YES,1,2868,2020-01-01,2020,No
422,1938,Discover,Credit,6177503172021506,2024-05-01,97,YES,1,3400,2020-01-01,2020,No
5231,1492,Mastercard,Debit,5188130978534931,2022-01-01,446,YES,1,12915,2011-10-01,2013,No
2615,1492,Visa,Debit (Prepaid),4860320285002452,2023-12-01,366,YES,2,84,2009-04-01,2017,No
2776,1492,Discover,Credit,6417599205270844,2021-07-01,504,YES,2,17600,2018-04-01,2018,No
5452,1492,Mastercard,Debit,5516722949603675,2012-12-01,621,YES,1,31542,2006-11-01,2009,No
3563,1492,Mastercard,Debit,5891053637541514,2022-02-01,362,YES,2,23049,2013-06-01,2013,No
6134,1492,Visa,Debit,4222570131769035,2020-05-01,141,YES,1,29734,2017-12-01,2017,No
4818,1492,Visa,Credit,4453742478192143,2020-01-01,346,YES,2,27000,2011-09-01,2016,No
2171,1492,Mastercard,Debit (Prepaid),5335984658439104,2022-11-01,320,YES,1,18,2008-03-01,2010,No
6106,688,Mastercard,Debit,5708150083756692,2023-04-01,824,YES,1,17848,2015-12-01,2015,No
3042,688,Mastercard,Debit,5238684130320063,2022-11-01,870,NO,1,25563,2010-05-01,2010,No
5209,688,Visa,Credit,4740880792169372,2020-04-01,168,YES,2,12000,2010-10-01,2010,No
1296,688,Amex,Credit,361648729239104,2018-11-01,709,NO,2,6600,2012-02-01,2012,No
389,749,Amex,Credit,363305614201313,2023-09-01,943,NO,1,5600,2020-01-01,2020,No
1773,749,Visa,Debit,4360859456629853,2022-11-01,428,YES,3,11873,2020-02-01,2020,No
1467,749,Mastercard,Credit,5498016831726771,2020-02-01,871,YES,1,7200,2020-02-01,2020,No
1395,643,Amex,Credit,381572912003735,2024-08-01,145,YES,1,10000,2020-02-01,2020,No
5597,643,Mastercard,Credit,5079302523329059,2023-04-01,381,YES,2,500,2010-11-01,2010,No
1468,1219,Mastercard,Debit,5546998350637125,2020-02-01,718,YES,1,22697,2020-02-01,2020,No
2309,1219,Mastercard,Credit,5326031764905960,2023-08-01,437,YES,1,18000,2013-03-01,2013,No
3466,1219,Mastercard,Debit,5096150037217374,2024-10-01,862,YES,1,32903,2010-06-01,2010,No
2804,1198,Visa,Debit,4489873116412364,2021-08-01,547,YES,2,12764,1999-05-01,2010,No
1388,1198,Mastercard,Credit,5621725368325863,2022-10-01,60,YES,1,6300,2019-02-01,2019,No
4660,898,Mastercard,Debit,5923138803280580,2022-02-01,934,YES,2,7541,2008-09-01,2013,No
3356,898,Visa,Debit,4447989421793048,2022-03-01,995,YES,2,1266,2007-06-01,2012,No
4870,898,Mastercard,Credit,5000307662634780,2020-04-01,263,NO,1,9500,2014-09-01,2014,No
3467,882,Mastercard,Debit,5707305515533516,2020-04-01,203,YES,2,1837,2010-06-01,2010,No
1079,882,Mastercard,Debit,5864987017850552,2023-08-01,258,YES,2,17453,2006-02-01,2008,No
2977,348,Visa,Debit,4228885239928189,2013-10-01,543,NO,1,28283,2008-05-01,2012,No
3073,348,Visa,Credit,4210237285941913,2020-04-01,160,YES,1,13500,2010-05-01,2012,No
3554,348,Visa,Credit,4877073763902898,2014-07-01,786,YES,2,13300,2012-06-01,2012,No
2597,633,Mastercard,Debit,5558040779986506,2021-09-01,69,YES,2,17941,2009-04-01,2009,No
3489,1493,Visa,Credit,4642496218651973,2018-04-01,594,YES,1,14400,2010-06-01,2012,No
4003,1493,Visa,Credit,4244401907291512,2020-04-01,120,YES,1,4400,2012-07-01,2012,No
1469,1493,Mastercard,Credit,5157439545898691,2020-03-01,657,YES,1,13000,2020-02-01,2020,No
1774,1493,Visa,Debit,4079516725179269,2023-04-01,72,YES,2,22701,2020-02-01,2020,No
1470,1161,Mastercard,Credit,5597117503471640,2024-08-01,934,NO,1,16100,2020-02-01,2020,No
1471,1161,Mastercard,Debit,5808372218918202,2023-09-01,138,YES,2,7629,2020-02-01,2020,No
2691,217,Mastercard,Debit,5565497732362129,2022-03-01,430,NO,1,16538,2012-04-01,2012,No
174,217,Visa,Debit,4072893581482208,2020-12-01,578,YES,2,22746,2008-01-01,2010,No
1364,217,Mastercard,Debit,5161929618424764,2016-07-01,743,YES,1,9737,2016-02-01,2016,No
1266,217,Mastercard,Credit,5359358098670039,2019-07-01,428,YES,1,6500,2011-02-01,2014,No
1267,217,Mastercard,Debit,5093514487076217,2020-06-01,889,YES,2,2650,2011-02-01,2013,No
207,217,Visa,Credit,4409790595650716,2012-05-01,839,YES,2,8200,2009-01-01,2011,No
5448,217,Amex,Credit,373325875666765,2022-01-01,204,YES,2,6200,2006-11-01,2013,No
5449,1877,Amex,Credit,366837170672753,2021-01-01,803,YES,2,22600,2006-11-01,2014,No
2107,1877,Mastercard,Debit,5260255791659846,2024-05-01,428,YES,2,6940,2006-03-01,2009,No
2398,1877,Mastercard,Debit,5911939393457828,2024-03-01,410,YES,2,23408,1996-04-01,2008,No
5414,1877,Visa,Credit,4226284680001632,2022-09-01,966,YES,2,9700,2004-11-01,2007,No
3758,668,Mastercard,Debit,5624997997810589,2024-06-01,992,NO,2,10538,2006-07-01,2006,No
4097,668,Mastercard,Debit,5752209560237460,2023-03-01,385,YES,2,6853,2001-08-01,2006,No
5778,668,Mastercard,Debit,5470018669871087,2020-10-01,598,YES,2,607,2002-12-01,2010,No
4318,668,Mastercard,Credit,5764603958082866,2021-08-01,397,YES,1,0,2010-08-01,2010,No
5015,668,Visa,Debit,4378354586828464,2021-06-01,644,YES,2,8253,2004-10-01,2011,No
750,533,Visa,Debit,4415203972868492,2020-09-01,847,YES,2,8492,2020-01-01,2020,No
242,203,Visa,Credit,4716309780327853,2022-07-01,275,YES,1,9100,2010-01-01,2010,No
3966,203,Mastercard,Credit,5175414290540891,2022-04-01,497,NO,2,2600,2011-07-01,2011,No
5375,203,Mastercard,Credit,5079431552272493,2024-05-01,813,NO,1,7300,2002-11-01,2010,No
5166,1738,Visa,Credit,4841586209388617,2020-08-01,207,YES,1,15000,2009-10-01,2009,No
1472,1738,Mastercard,Credit,5133341979041600,2024-04-01,497,YES,2,18700,2020-02-01,2020,No
751,1738,Visa,Debit,4044685132149960,2021-05-01,579,YES,1,21458,2020-01-01,2020,No
5623,1738,Visa,Credit,4825181289428263,2020-04-01,635,NO,1,15700,2010-11-01,2014,No
6099,713,Mastercard,Debit,5533057740649374,2020-01-01,13,YES,2,20765,2014-12-01,2014,No
1473,713,Mastercard,Debit,5137811039972629,2022-06-01,170,NO,2,18101,2020-02-01,2020,No
1775,713,Visa,Credit,4409545480052957,2024-11-01,528,YES,1,8400,2020-02-01,2020,No
447,713,Mastercard,Debit,5169705466479218,2020-03-01,66,YES,1,1737,2020-01-01,2020,No
1474,1631,Mastercard,Credit,5782138554730431,2020-02-01,217,YES,2,20900,2020-02-01,2020,No
1776,1631,Visa,Credit,4450097042295695,2021-11-01,601,YES,1,23700,2020-02-01,2020,No
448,1631,Mastercard,Credit,5298079382002761,2021-11-01,989,YES,1,17500,2020-01-01,2020,No
5978,1487,Visa,Debit,4911894810892317,2024-06-01,769,YES,1,26083,2009-12-01,2009,No
2978,1487,Visa,Debit,4394014058373538,2022-10-01,943,YES,1,31589,2008-05-01,2008,No
4946,1487,Visa,Credit,4984110253172329,2021-06-01,453,YES,2,24200,2000-10-01,2013,No
1475,1265,Mastercard,Debit,5658875071888530,2020-02-01,190,YES,2,18321,2020-02-01,2020,No
5376,370,Mastercard,Debit,5377126168537132,2022-10-01,94,YES,2,7551,2002-11-01,2010,No
4127,370,Mastercard,Debit,5606824501502078,2014-06-01,451,YES,1,15377,2004-08-01,2011,No
5093,370,Visa,Debit,4501704511432206,2023-03-01,324,YES,1,12990,2007-10-01,2016,No
3490,370,Visa,Debit,4015096339812707,2023-02-01,494,YES,1,8509,2010-06-01,2010,No
5702,1014,Visa,Debit,4467199760802877,2014-11-01,176,YES,1,96907,2014-11-01,2014,No
2200,1014,Visa,Credit,4081474027835147,2015-07-01,45,YES,1,43900,2008-03-01,2013,No
5436,1014,Visa,Debit (Prepaid),4868297041449163,2020-10-01,440,YES,2,76,2005-11-01,2007,No
449,290,Mastercard,Debit,5843714671989158,2020-01-01,533,YES,2,50915,2020-01-01,2020,No
1777,290,Visa,Debit,4052306795072868,2021-12-01,369,YES,2,31767,2020-02-01,2020,No
3862,985,Visa,Credit,4229889369220690,2024-04-01,82,YES,2,13200,2008-07-01,2010,No
1268,985,Mastercard,Credit,5936949471946678,2022-10-01,372,YES,2,16000,2011-02-01,2012,No
752,985,Visa,Debit,4748458102584203,2024-07-01,223,YES,2,18132,2020-01-01,2020,No
2704,985,Visa,Credit,4862788591864799,2019-02-01,466,YES,1,300,2012-04-01,2012,No
2808,135,Mastercard,Debit,5736838327060448,2022-11-01,714,YES,2,2236,2000-05-01,2015,No
4791,135,Visa,Debit,4528854599819268,2019-08-01,451,YES,2,21591,2010-09-01,2010,No
1476,307,Mastercard,Debit,5956798767354537,2020-04-01,927,YES,2,11521,2020-02-01,2020,No
753,307,Visa,Credit,4949830998579625,2020-06-01,561,NO,1,8600,2020-01-01,2020,No
4112,1783,Amex,Credit,323782494048404,2020-03-01,659,YES,1,9800,2003-08-01,2010,No
1154,1783,Visa,Credit,4172882144788973,2012-03-01,902,YES,2,11300,2008-02-01,2009,No
2598,1783,Mastercard,Credit,5153494647482349,2019-10-01,492,YES,1,8400,2009-04-01,2011,No
10,1783,Mastercard,Debit,5513208341097350,2023-12-01,789,YES,1,16597,1999-01-01,2009,No
4655,1783,Amex,Credit,316138720673532,2020-09-01,876,YES,2,9400,2008-09-01,2008,No
5908,1321,Visa,Debit,4709941855155413,2008-12-01,122,YES,1,18702,2007-12-01,2007,No
3357,1511,Visa,Debit,4725438629956463,2022-06-01,675,YES,1,24806,2007-06-01,2007,No
5502,1511,Visa,Debit,4992990568824247,2023-05-01,457,YES,1,19856,2007-11-01,2011,No
1238,900,Visa,Debit (Prepaid),4580252759299284,2021-02-01,397,YES,2,68,2010-02-01,2010,No
3412,900,Amex,Credit,347103137777594,2022-12-01,791,YES,2,4900,2009-06-01,2009,No
1477,953,Mastercard,Debit,5779387577644606,2022-02-01,421,YES,1,13390,2020-02-01,2020,No
1396,953,Amex,Credit,343258769247986,2024-11-01,210,YES,3,8400,2020-02-01,2020,No
1297,233,Amex,Credit,374396421501669,2024-03-01,659,YES,2,13700,2012-02-01,2012,No
3605,406,Discover,Credit,6308795344040919,2024-11-01,205,YES,2,4200,2016-06-01,2016,No
